"NomenCode","Reporter_ISO_N","ReporterName","ProductCode","Partner","PartnerName","Year","AdValorem","MeasureCode","MeasureName","NonAdValorem","Affected"
"H1","840","United States","03023900","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03024000","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03025000","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026300","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026400","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03026500","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026600","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026910","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03026920","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03026940","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03027020","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03027040","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.44/KG",
"H1","840","United States","03031000","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03032100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03032200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03032900","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03033100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03033200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03033300","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03033900","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03034100","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03034200","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03034300","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03034900","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03035000","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03036000","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037300","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037400","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03037500","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037600","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037700","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037800","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037920","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03037940","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03038020","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03038040","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.44/KG",
"H1","840","United States","03041010","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03041030","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03041040","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03042020","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.028/KG",
"H1","840","United States","03042030","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03042050","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03042060","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03049010","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.028/KG",
"H1","840","United States","03049090","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03051020","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.028/KG",
"H1","840","United States","03051040","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03052020","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03052040","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.44/KG",
"H1","840","United States","03053020","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03053040","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03053060","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03054100","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03054200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.066/KG",
"H1","840","United States","03054920","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03054940","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.066/KG",
"H1","840","United States","03055100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.055/KG",
"H1","840","United States","03055920","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.028/KG",
"H1","840","United States","03055940","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.028/KG",
"H1","840","United States","03056120","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03056140","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03056200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.028/KG",
"H1","840","United States","03056320","N21","",1999,25,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03056340","N21","",1999,1,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03056360","N21","",1999,2.5,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
